epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.91,1.39851,0.92578,1.19067,0.95303,0.9551,0.98515,0.72101,0.99828,0.48441,1.05524,0.00332942,0.00332942,0.00332942
2,623.683,0.98555,0.52629,0.96017,0.96553,0.96261,0.99076,0.80713,0.76146,0.41918,0.91344,0.00661878,0.00661878,0.00661878
3,927.264,0.90871,0.50954,0.91966,0.98118,0.95536,0.99236,0.84698,0.61677,0.36682,0.86575,0.00986414,0.00986414,0.00986414
4,1223.73,0.80312,0.46661,0.89112,0.96311,0.96665,0.98975,0.88667,0.49319,0.34461,0.8327,0.009802,0.009802,0.009802
5,1519.82,0.69165,0.42038,0.86554,0.96637,0.9801,0.99295,0.91209,0.44196,0.30062,0.81782,0.009736,0.009736,0.009736
6,1815.44,0.63423,0.38577,0.85066,0.98003,0.98097,0.99316,0.91686,0.42374,0.27332,0.81598,0.00967,0.00967,0.00967
7,2115.7,0.584,0.37045,0.84061,0.97849,0.98467,0.99234,0.93852,0.36374,0.25925,0.79731,0.009604,0.009604,0.009604
8,2415.38,0.54896,0.34535,0.83181,0.98819,0.98794,0.99405,0.94522,0.33579,0.23658,0.78683,0.009538,0.009538,0.009538
9,2711.67,0.51249,0.32768,0.82423,0.98113,0.97607,0.99399,0.95064,0.3249,0.24136,0.78313,0.009472,0.009472,0.009472
10,3008.43,0.49127,0.31877,0.82001,0.99404,0.96552,0.99415,0.9631,0.28559,0.21943,0.77609,0.009406,0.009406,0.009406
11,3305.37,0.46261,0.30661,0.81478,0.99789,0.99824,0.9945,0.9698,0.26958,0.19924,0.77417,0.00934,0.00934,0.00934
12,3606.85,0.44983,0.29601,0.81315,0.99284,0.99168,0.99431,0.9653,0.27133,0.21117,0.77275,0.009274,0.009274,0.009274
13,3902.44,0.43084,0.28805,0.80948,0.99342,0.99212,0.99431,0.96972,0.26023,0.20193,0.77043,0.009208,0.009208,0.009208
14,4197.94,0.41249,0.27585,0.80666,0.99792,0.99819,0.9943,0.97778,0.2347,0.18321,0.76559,0.009142,0.009142,0.009142
15,4494.37,0.40073,0.27095,0.80411,0.98337,0.9908,0.99441,0.97999,0.22801,0.18858,0.76604,0.009076,0.009076,0.009076
16,4791.34,0.39268,0.26322,0.80288,0.99578,0.99409,0.99421,0.98337,0.21077,0.17474,0.76406,0.00901,0.00901,0.00901
17,5087.26,0.37878,0.25478,0.80129,0.99835,0.99867,0.9946,0.98304,0.2087,0.17016,0.76203,0.008944,0.008944,0.008944
18,323.434,0.37139,0.25303,0.79975,0.99771,0.996,0.99463,0.98545,0.19992,0.16519,0.76163,0.008878,0.008878,0.008878
19,637.035,0.36227,0.24706,0.79868,0.99795,0.9982,0.99464,0.98347,0.20686,0.16905,0.76082,0.008812,0.008812,0.008812
20,948.158,0.35686,0.24385,0.79798,0.99816,0.99853,0.99465,0.98562,0.18975,0.15891,0.75892,0.008746,0.008746,0.008746
21,1261.15,0.34652,0.23704,0.79605,0.99827,0.99854,0.99442,0.98651,0.19224,0.15867,0.76039,0.00868,0.00868,0.00868
22,1570.92,0.34025,0.23607,0.79557,0.99829,0.99839,0.99457,0.98644,0.19157,0.15729,0.76016,0.008614,0.008614,0.008614
23,1878.91,0.33508,0.23587,0.79444,0.99821,0.99817,0.9947,0.98798,0.1792,0.15142,0.7585,0.008548,0.008548,0.008548
24,2189.55,0.32666,0.22563,0.7935,0.99842,0.99869,0.99474,0.98775,0.17765,0.14796,0.7585,0.008482,0.008482,0.008482
25,2499.12,0.32143,0.22735,0.79239,0.99857,0.99841,0.99463,0.9887,0.17644,0.14736,0.75857,0.008416,0.008416,0.008416
26,2808.7,0.31305,0.21494,0.79107,0.99862,0.99849,0.99468,0.99031,0.16091,0.14279,0.7565,0.00835,0.00835,0.00835
96,319.598,0.16874,0.1294,0.77551,0.99891,0.99908,0.9949,0.99476,0.06627,0.08158,0.74527,0.00373,0.00373,0.00373
97,626.167,0.1695,0.12994,0.77543,0.99886,0.99902,0.99491,0.99477,0.06569,0.08078,0.74509,0.003664,0.003664,0.003664
98,933.597,0.16991,0.1311,0.77557,0.99882,0.99912,0.99491,0.99478,0.06524,0.07988,0.74497,0.003598,0.003598,0.003598
99,1238.05,0.16788,0.12833,0.7755,0.99891,0.9991,0.99492,0.99478,0.06487,0.0794,0.7454,0.003532,0.003532,0.003532
100,1543.11,0.16517,0.12833,0.77521,0.99902,0.99904,0.9949,0.99476,0.06426,0.07887,0.74534,0.003466,0.003466,0.003466
101,1847.99,0.16622,0.12835,0.77511,0.99888,0.99912,0.99491,0.99477,0.06313,0.07821,0.74533,0.0034,0.0034,0.0034
102,2154.24,0.16516,0.12609,0.77511,0.99894,0.99908,0.9949,0.99478,0.06236,0.07765,0.74534,0.003334,0.003334,0.003334
103,2462.29,0.16388,0.12698,0.77481,0.99897,0.99912,0.99492,0.9948,0.06176,0.07749,0.74528,0.003268,0.003268,0.003268
